"DOT_NUMBER","INSP_TOTAL","DRIVER_INSP_TOTAL","DRIVER_OOS_INSP_TOTAL","VEHICLE_INSP_TOTAL","VEHICLE_OOS_INSP_TOTAL","UNSAFE_DRIV_PCT","UNSAFE_DRIV_RD_ALERT","UNSAFE_DRIV_SV","UNSAFE_DRIV_BASIC_ALERT","FATIGUE_DRIV_PCT","FATIGUE_DRIV_RD_ALERT","FATIGUE_DRIV_SV","FATIGUE_DRIV_BASIC_ALERT","DRIV_FIT_PCT","DRIV_FIT_RD_ALERT","DRIV_FIT_SV","DRIV_FIT_BASIC_ALERT","CONTR_SUBST_PCT","CONTR_SUBST_RD_ALERT","CONTR_SUBST_SV","CONTR_SUBST_BASIC_ALERT","VEH_MAINT_PCT","VEH_MAINT_RD_ALERT","VEH_MAINT_SV","VEH_MAINT_BASIC_ALERT","CARRIER","NY","PA","DC","MA","CT","MD","VA","Website"
44110,2020,1675,31,1185,94,11.8,N,N,N,36.8,N,N,N,49.2,N,N,N,,N,N,N,31.7,N,N,N,Greyhound Lines,PORT AUTHORITY 625 8TH AVE New York NY 10018,5608 N BROAD ST Philadelpha N Broad St PA 19141,1005 1ST ST NE Washington DC 20002,SOUTH STATION TRANS CTR 700 ATLANTIC AVE Boston MA 02110,1 UNION PL Hartford CT 06103,2110 HAINES ST Baltimore MD 21201,2910 N BLVD Richmond VA 23230,http://www.greyhound.com/
905572,322,298,3,143,6,.7,N,N,N,34.2,N,N,N,,N,N,N,,N,N,N,18.8,N,N,N,DC2NY,33rd Street near 7th Avenue New York NY,,Washington Union Station Washington DC 20002,,,,,http://www.dc2ny.com/
1759030,232,222,15,62,6,73,Y,N,Y,48.1,N,N,N,66.2,Y,N,Y,,N,N,N,7.4,N,N,N,Megabus,9th Ave and 31st St. New York NY,30th Street Station Philadelphia PA,Washington Union Station Washington DC 20002,Elevator Access Summer St Boston MA 02110,Columbus Blvd and Talcott St Hartford CT 06103,Whitemarsh Blvd & Honeygo Blvd White Marsh MD 21236,1500 East Main Street Richmond Virginia 23219,http://us.megabus.com
55327,402,155,3,316,18,14.4,N,N,N,31.3,N,N,N,,N,N,N,,N,N,N,13.5,N,N,N,Peter Pan Bus Lines,625 8th Avenue & W 42nd Street New York NY 10036,Greyhound Terminal Philadelphia PA 19107,1005 First St Northeast Washington DC 20002,700 Atlantic Avenue Boston MA 02110,1 Union Place Hartford CT 06103,,,http://www.peterpanbus.com/
102213,113,113,6,86,11,22.6,N,N,N,31.1,N,N,N,96.5,Y,N,Y,,N,N,N,39.8,N,N,N,Apex Bus,28 Allen Street New York NY,1015 Arch Street Philadelphia PA,715 H St NW Washington DC,,,,910 North Blvd Richmond VA,https://www.apexbus.com
2133112,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Dragon Bus,W 34 Street-Herald Square and Broadway New York NY,,1101 14th St NW Washington DC 20005,,,5600 O'Donnell St Baltimore MD 21224,,http://www.dragondeluxe.com/
954187,117,57,6,86,24,15.8,N,N,N,46.2,N,Y,Y,88.8,Y,Y,Y,,N,N,N,45.3,N,Y,Y,Fung Wah,New York Bus Station 139 Canal St New York NY 10002,,,700 Atlantic Ave Boston MA 02111,,,,http://www.fungwahbus.com/default.html
1648101,7,6,2,6,1,,N,N,N,,N,N,N,,N,N,N,,N,N,N,83.8,Y,N,Y,Long Lucky,140 Bowery New York NY 10002,,,,1 Mohegan Sun Blvd Uncasville CT 06382,,,http://www.longluckybus.com/
616094,6,6,1,3,2,,N,N,N,,N,N,N,,N,N,N,,N,Y,Y,,N,N,N,MVP Bus,Penn Station 252 West 31st St New York NY 10001,,610 I St NW and 6th St NW Washington DC,,,1910 N Charles St and E North Ave Baltimore MD 21218,,http://www.mvpbus.com/
2054392,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,New Century Travel,120 East Broadway St New York NY,55-57 N 11th St Philadelphia PA 19107,513 H St NW Washington DC 20001,,,5501 O'Donnell St Cutoff Baltimore MD 21224-4630,2828 W Broad St Richmond VA 23230,http://www.2001bus.com/
