Page ID	Page Rank	Anchor Text	URL
1	0.188599073254	['Cornell Information Science', 'home', 'uInformation Science Home', 'uInformation   Science Home', 'uInformation Science']	http://www.infosci.cornell.edu/index.html
2	0.00313776523213	['uFall 2005 Colloquium']	http://www.infosci.cornell.edu/about/colloquium-fall2005.html
3	0.00306294193492	['uFall 2006 Colloquium ']	http://www.infosci.cornell.edu/about/colloquium-fall2006.html
4	0.00309357135427	['uSpring 2006 Colloquium']	http://www.infosci.cornell.edu/about/colloquium-spring2006.html
5	0.00282232050413	['uFeature-Driven               Graphics']	http://www.infosci.cornell.edu/about/colloquiumFA05/nov2.html
6	0.00282232050413	['uTransformed               Social Interaction in Virtual Reality']	http://www.infosci.cornell.edu/about/colloquiumFA05/nov30.html
7	0.00282232050413	['uEconomic                 Natural Selection']	http://www.infosci.cornell.edu/about/colloquiumFA05/oct19.html
8	0.00282232050413	['uUsing               Visual Information to Coordinate Speech and Action in Collaborative               Physical Tasks']	http://www.infosci.cornell.edu/about/colloquiumFA05/oct5.html
9	0.00282232050413	['uTracking               Social Networks Across Time and Space']	http://www.infosci.cornell.edu/about/colloquiumFA05/sept7.html
10	0.00281808586534	['uIs Policy the Future of the Internet?']	http://www.infosci.cornell.edu/about/colloquiumFA06/Dec12.html
11	0.00281808586534	['uStudying and Encouraging Pro-Social Behavior in Wikipedia']	http://www.infosci.cornell.edu/about/colloquiumFA06/Nov29.html
12	0.00281808586534	['uThe Science of Constraints']	http://www.infosci.cornell.edu/about/colloquiumFA06/Nov8.html
13	0.00281808586534	['uNSDL 2.0: Creating a Collaborative Digital Library']	http://www.infosci.cornell.edu/about/colloquiumFA06/Oct11.html
14	0.00281808586534	['uData Privacy and Background Knowledge']	http://www.infosci.cornell.edu/about/colloquiumFA06/Oct25.html
15	0.00281808586534	['uComputing Diversity: Affirmative Action and Race Neutral Policies']	http://www.infosci.cornell.edu/about/colloquiumFA06/sept13.html
16	0.00281808586534	['u&quot;Hold that Thought! Why I care about automating              the capture of everyday activities&quot;']	http://www.infosci.cornell.edu/about/colloquiumFA06/sept27.html
17	0.00281382701841	['uExpressive Intelligence: Artificial Intelligence, Games and New Media']	http://www.infosci.cornell.edu/about/colloquiumFA07/Aug30.html
18	0.00281382701841	['uEnhancing Face-to-Face Interactions with Multi-User Computing']	http://www.infosci.cornell.edu/about/colloquiumFA07/Nov28.html
19	0.00281382701841	['uEncountering Traces: Where is the Goffman of the Internet']	http://www.infosci.cornell.edu/about/colloquiumFA07/Nov7.html
20	0.00281382701841	['uAttention in Distributed Collaboration']	http://www.infosci.cornell.edu/about/colloquiumFA07/Oct10.html
21	0.00281382701841	['uPictures of Traces of Places, People, and Groups: Recent Work from the Microsoft Research Community Technologies Group']	http://www.infosci.cornell.edu/about/colloquiumFA07/Oct24.html
22	0.00281382701841	['uFrom Libraries to Learning']	http://www.infosci.cornell.edu/about/colloquiumFA07/Oct3.html
23	0.00281115211681	['u Manipulation Resistance and Information Loss for Recommender Systems']	http://www.infosci.cornell.edu/about/colloquiumFA08/Nov12.html
24	0.00298565448351	['u Internet Addressing: The Next Great Battleground for Internet Governance', 'u ']	http://www.infosci.cornell.edu/about/colloquiumFA08/Nov19.html
25	0.00281115211681	['u Useful Void: The Virtue of Forgetting in the Digital Age']	http://www.infosci.cornell.edu/about/colloquiumFA08/Oct1.html
26	0.00281115211681	['u , <span style="mso-bidi-font-size: 12.0pt; mso-bidi-font-family: Times"><font class="Apple-style-span">Technical Dimensions of Privacy</font></span>']	http://www.infosci.cornell.edu/about/colloquiumFA08/Oct15.html
27	0.00281115211681	['u MINING THE HOME MOVIE']	http://www.infosci.cornell.edu/about/colloquiumFA08/Oct29.html
28	0.00281115211681	['uA Human Computing Research Agenda for Chronic Disease Management']	http://www.infosci.cornell.edu/about/colloquiumFA08/Sept11.html
29	0.00281115211681	['u PLOW: A Collaborative Task Learning Agent']	http://www.infosci.cornell.edu/about/colloquiumFA08/Sept17.html
30	0.00281392897965	['uWhat Does the World Think? Learning From and About Humans with Social Media']	http://www.infosci.cornell.edu/about/ColloquiumFA09/Nov%2011.html
31	0.202787456446		http://www.infosci.cornell.edu/about/colloquiumFA09/Oct%2014.html
32	0.202787456446		http://www.infosci.cornell.edu/about/colloquiumFA09/Oct%205.html
33	0.202787456446		http://www.infosci.cornell.edu/about/colloquiumFA09/Sept%2010.html
34	0.202787456446		http://www.infosci.cornell.edu/about/colloquiumFA09/Sept%202.html
35	0.202787456446		http://www.infosci.cornell.edu/about/colloquiumFA09/Sept%2023.html
36	0.202787456446		http://www.infosci.cornell.edu/about/colloquiumFA09/Sept%2030.html
